[FIPS CODE ,  SHORT NAME ,  FULL NAME ,  STATE ,  LATATUDE ,  LONGITUDE ,  POPULATION (2020) ,  AREA (SQ MI)]
[6037, Los Angeles, Los Angeles County, CA, 34.3219, -118.2247, 9808667, 4057.88]
[17031, Cook, Cook County, IL, 41.8401, -87.8168, 5182090, 945.33]
[48201, Harris, Harris County, TX, 29.8578, -95.3938, 4838303, 1703.48]
[4013, Maricopa, Maricopa County, AZ, 33.349, -112.4915, 4559748, 9200.14]
[6073, San Diego, San Diego County, CA, 33.0343, -116.735, 3288774, 4206.63]
[6059, Orange, Orange County, CA, 33.7031, -117.7609, 3165820, 790.57]
[12086, Miami-Dade, Miami-Dade County, FL, 25.615, -80.5624, 2738356, 1897.72]
[36047, Kings, Kings County, NY, 40.6413, -73.9383, 2631580, 70.82]
[48113, Dallas, Dallas County, TX, 32.7666, -96.7778, 2621179, 871.28]
[6065, Riverside, Riverside County, CA, 33.7437, -115.9938, 2478600, 7206.48]
[32003, Clark, Clark County, NV, 36.2152, -115.0135, 2329548, 7891.43]
[36081, Queens, Queens County, NY, 40.7035, -73.8196, 2323052, 108.53]
[53033, King, King County, WA, 47.4903, -121.8052, 2287171, 2115.57]
[6071, San Bernardino, San Bernardino County, CA, 34.8414, -116.1785, 2197104, 20056.94]
[48439, Tarrant, Tarrant County, TX, 32.7719, -97.2911, 2167390, 863.61]
[48029, Bexar, Bexar County, TX, 29.4489, -98.52, 2067341, 1239.82]
[12011, Broward, Broward County, FL, 26.1523, -80.4871, 1977129, 1209.79]
[6085, Santa Clara, Santa Clara County, CA, 37.2318, -121.6951, 1902047, 1290.1]
[26163, Wayne, Wayne County, MI, 42.2822, -83.283, 1772259, 612.08]
[6001, Alameda, Alameda County, CA, 37.6469, -121.8887, 1649473, 739.02]
[25017, Middlesex, Middlesex County, MA, 42.4856, -71.3918, 1638365, 817.82]
[36061, New York, New York County, NY, 40.7792, -73.9668, 1629477, 22.83]
[6067, Sacramento, Sacramento County, CA, 38.4493, -121.3443, 1594006, 964.64]
[42101, Philadelphia, Philadelphia County, PA, 40.0076, -75.134, 1579706, 134.1]
[12099, Palm Beach, Palm Beach County, FL, 26.6476, -80.4655, 1533806, 1969.76]
[36103, Suffolk, Suffolk County, NY, 40.8681, -72.8456, 1530146, 912.05]
[12057, Hillsborough, Hillsborough County, FL, 27.9292, -82.3088, 1522748, 1020.21]
[12095, Orange, Orange County, FL, 28.5144, -81.3235, 1471937, 903.43]
[36005, Bronx, Bronx County, NY, 40.8501, -73.8671, 1404779, 42.1]
[36059, Nassau, Nassau County, NY, 40.7326, -73.5862, 1389591, 284.72]
[39049, Franklin, Franklin County, OH, 39.9695, -83.0093, 1333048, 532.19]
[48453, Travis, Travis County, TX, 30.3344, -97.782, 1330015, 990.2]
[26125, Oakland, Oakland County, MI, 42.6604, -83.3858, 1279825, 867.66]
[27053, Hennepin, Hennepin County, MN, 45.0046, -93.477, 1269496, 553.59]
[39035, Cuyahoga, Cuyahoga County, OH, 41.4243, -81.6586, 1245873, 457.19]
[42003, Allegheny, Allegheny County, PA, 40.4688, -79.9812, 1238177, 730.08]
[49035, Salt Lake, Salt Lake County, UT, 40.6673, -111.9236, 1196523, 742.28]
[37183, Wake, Wake County, NC, 35.7903, -78.6503, 1178653, 835.22]
[6013, Contra Costa, Contra Costa County, CA, 37.9192, -121.9275, 1165012, 715.94]
[48085, Collin, Collin County, TX, 33.188, -96.5724, 1163337, 841.23]
[37119, Mecklenburg, Mecklenburg County, NC, 35.2467, -80.8328, 1154681, 523.84]
[51059, Fairfax, Fairfax County, VA, 38.8368, -77.277, 1147837, 390.97]
[13121, Fulton, Fulton County, GA, 33.7903, -84.4671, 1076561, 526.64]
[24031, Montgomery, Montgomery County, MD, 39.1363, -77.2042, 1065949, 491.25]
[4019, Pima, Pima County, AZ, 32.0974, -111.7899, 1060490, 9187.04]
[12031, Duval, Duval County, FL, 30.3313, -81.6715, 1023153, 762.19]
[6019, Fresno, Fresno County, CA, 36.7582, -119.6493, 1016725, 5957.99]
[15003, Honolulu, Honolulu County, HI, 21.4899, -158.0739, 1001146, 600.74]
[36119, Westchester, Westchester County, NY, 41.1626, -73.7561, 999677, 430.5]
[29189, St. Louis, St. Louis County, MO, 38.6407, -90.4434, 995569, 507.8]
[13135, Gwinnett, Gwinnett County, GA, 33.9619, -84.0235, 979864, 430.38]
[48121, Denton, Denton County, TX, 33.2055, -97.1168, 979561, 878.43]
[9110, Capitol, Capitol Planning Region, CT, 41.8185, -72.572, 977290, 410.21]
[18097, Marion, Marion County, IN, 39.7817, -86.1385, 975809, 396.3]
[12103, Pinellas, Pinellas County, FL, 27.9198, -82.7255, 963481, 273.8]
[34003, Bergen, Bergen County, NJ, 40.9597, -74.0742, 962316, 233.01]
[24033, Prince George's, Prince George's County, MD, 38.8295, -76.8473, 959754, 482.69]
[36029, Erie, Erie County, NY, 42.7639, -78.7323, 950622, 1042.69]
[53053, Pierce, Pierce County, WA, 47.0239, -122.1041, 930319, 1669.51]
[17043, DuPage, DuPage County, IL, 41.852, -88.0856, 930024, 327.5]
[55079, Milwaukee, Milwaukee County, WI, 43.0072, -87.9669, 926331, 241.4]
[47157, Shelby, Shelby County, TN, 35.1843, -89.8938, 919173, 763.17]
[6029, Kern, Kern County, CA, 35.3426, -118.7301, 915075, 8131.92]
[48157, Fort Bend, Fort Bend County, TX, 29.5275, -95.7709, 893767, 861.48]
[48215, Hidalgo, Hidalgo County, TX, 26.3969, -98.1812, 891977, 1570.87]
[26099, Macomb, Macomb County, MI, 42.6957, -82.9323, 879853, 479.22]
[34023, Middlesex, Middlesex County, NJ, 40.4392, -74.4117, 871290, 308.91]
[48141, El Paso, El Paso County, TX, 31.7686, -106.2348, 870779, 1012.69]
[25027, Worcester, Worcester County, MA, 42.3514, -71.9077, 867788, 1510.77]
[42091, Montgomery, Montgomery County, PA, 40.2108, -75.3673, 867573, 483.04]
[34013, Essex, Essex County, NJ, 40.788, -74.2481, 863002, 126.21]
[24005, Baltimore, Baltimore County, MD, 39.4629, -76.6395, 850796, 598.3]
[53061, Snohomish, Snohomish County, WA, 48.0474, -121.6972, 844430, 2087.27]
[6111, Ventura, Ventura County, CA, 34.4561, -119.0836, 837469, 1843.13]
[39061, Hamilton, Hamilton County, OH, 39.1955, -84.5428, 830774, 405.91]
[6075, San Francisco, San Francisco County, CA, 37.7556, -122.445, 830235, 46.87]
[12071, Lee, Lee County, FL, 26.578, -81.8332, 817666, 784.51]
[25009, Essex, Essex County, MA, 42.6732, -70.9524, 813054, 492.56]
[40109, Oklahoma, Oklahoma County, OK, 35.5515, -97.4072, 806199, 708.82]
[41051, Multnomah, Multnomah County, OR, 45.5468, -122.4149, 801477, 431.3]
[6077, San Joaquin, San Joaquin County, CA, 37.9348, -121.2714, 797334, 1391.32]
[12105, Polk, Polk County, FL, 27.9489, -81.6976, 790694, 1797.84]
[25025, Suffolk, Suffolk County, MA, 42.3329, -71.0735, 785121, 58.15]
[21111, Jefferson, Jefferson County, KY, 38.1872, -85.6591, 783022, 380.42]
[13067, Cobb, Cobb County, GA, 33.9416, -84.5767, 775208, 339.55]
[13089, DeKalb, DeKalb County, GA, 33.7716, -84.2264, 765351, 267.58]
[36055, Monroe, Monroe County, NY, 43.1464, -77.6961, 753753, 657.21]
[8041, El Paso, El Paso County, CO, 38.8321, -104.5254, 742999, 2126.8]
[6081, San Mateo, San Mateo County, CA, 37.4228, -122.3291, 742340, 448.41]
[25021, Norfolk, Norfolk County, MA, 42.1603, -71.2118, 730082, 396.11]
[29095, Jackson, Jackson County, MO, 39.0085, -94.3461, 719976, 604.46]
[8031, Denver, Denver County, CO, 39.762, -104.8758, 718877, 153.0]
[34017, Hudson, Hudson County, NJ, 40.7408, -74.0751, 718323, 46.19]
[47037, Davidson, Davidson County, TN, 36.1695, -86.7848, 715388, 504.03]
[17097, Lake, Lake County, IL, 42.3233, -88.0037, 714223, 443.67]
[49049, Utah, Utah County, UT, 40.1199, -111.6702, 705400, 2003.45]
[17197, Will, Will County, IL, 41.445, -87.9786, 701462, 836.91]
[48339, Montgomery, Montgomery County, TX, 30.3002, -95.503, 684432, 1041.74]
